review_tier,id,klass,title,source_decision,cap,final_review_status,final_source_priority,final_valid_from,final_valid_to,final_supersedes,final_procedure_version,final_last_verified_at,existing_phi_le_phi,final_phi_le_phi,candidate_thoi_han,final_thoi_han,candidate_mau_don,final_mau_don,suggested_authority,final_authority,paper_flag,notes
HIGH,tthc_5568-tw-11,tthc,Gia hạn tạm trú cho người đã được cấp giấy miễn thị thực,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 10 USD/lần,Lệ phí: Không | Phí: 10 USD/lần,,,NA5,NA5,,,,
HIGH,tthc_5568-tw-12,tthc,Gia hạn tạm trú cho người nước ngoài tại Việt Nam,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: 10 USD/lần,Lệ phí: Không | Phí: 10 USD/lần,,,NA5,NA5,,,,
HIGH,tthc_5568-tw-13,tthc,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,,,,,,,,
HIGH,tthc_5568-tw-14,tthc,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,5568/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,,,,,,,,
HIGH,tthc_matt26265,tthc,Khai báo tạm trú cho người nước ngoài tại Việt Nam qua Trang thông tin điện tử,KBTT_HD_Trang_CSLT_v2.0.pdf,xa,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,"Trong 12 giờ kể từ khi người nước ngoài đến cơ sở lưu trú; địa bàn vùng sâu, vùng xa trong 24 giờ.","Trong 12 giờ kể từ khi người nước ngoài đến cơ sở lưu trú; địa bàn vùng sâu, vùng xa trong 24 giờ.",,,Công an cấp xã,Công an cấp xã,,
HIGH,tthc_tinh-01,tthc,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",8258/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_tinh-02,tthc,Cấp giấy thông hành biên giới Việt Nam - Lào cho công dân Việt Nam thường trú ở tỉnh có chung đường biên giới với Lào,8258/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_tinh-03,tthc,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,8258/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_tinh-04,tthc,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,8258/QD-BCA,tinh,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,,,,,Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),Công an cấp tỉnh (Phòng Quản lý xuất nhập cảnh),,
HIGH,tthc_tw-01,tthc,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",8258/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,,,,,,
HIGH,tthc_tw-02,tthc,Cấp giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,8258/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,Lệ phí: 200.000 đồng/lần cấp | Phí: Không,,,,,,,,
HIGH,tthc_tw-03,tthc,Cấp lại giấy phép xuất nhập cảnh cho người không quốc tịch cư trú tại Việt Nam,8258/QD-BCA,trung-uong,pending,current_procedure,,,,,,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,Lệ phí: 200.000 đồng/lần cấp lại | Phí: Không,,,,,,,,
HIGH,tthc_xa-01,tthc,"Xác nhận, cung cấp thông tin liên quan đến xuất nhập cảnh của công dân Việt Nam",8258/QD-BCA,xa,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,,,,,Công an cấp xã,Công an cấp xã,,
HIGH,tthc_xa-02,tthc,Cấp giấy thông hành biên giới Việt Nam - Lào cho công dân Việt Nam thường trú ở tỉnh có chung đường biên giới với Lào,8258/QD-BCA,xa,pending,current_procedure,,,,,,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,Lệ phí: Chưa xác minh | Phí: Chưa xác minh,,,,,Công an cấp xã,Công an cấp xã,,
HIGH,tthc_xa-03,tthc,"Cấp giấy thông hành xuất, nhập cảnh vùng biên giới Việt Nam - Trung Quốc cho công dân Việt Nam thường trú tại đơn vị hành chính cấp xã tiếp giáp đường biên giới Việt Nam-Trung Quốc",8258/QD-BCA,xa,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,01 ngày làm việc,01 ngày làm việc,,,Công an cấp xã,Công an cấp xã,,
HIGH,tthc_xa-04,tthc,"Cấp giấy thông hành xuất, nhập cảnh vùng biên giới Việt Nam - Trung Quốc cho cán bộ, công chức làm việc tại các cơ quan nhà nước có trụ sở đóng tại đơn vị hành chính cấp xã thuộc tỉnh của Việt Nam tiếp giáp đường biên giới Việt Nam - Trung Quốc",8258/QD-BCA,xa,pending,current_procedure,,,,,,Lệ phí: Không | Phí: Không,Lệ phí: Không | Phí: Không,01 ngày làm việc,01 ngày làm việc,,,Công an cấp xã,Công an cấp xã,,
BULK,guide_cap_xa_2025_a_01_quan_ly_xuat_nhap_canh_trinh_bao_mat_ho_chieu_pho_thong_thuc_hien_tai_cap_xa_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_a_03_quan_ly_xuat_nhap_canh_trinh_bao_mat_the_abtc_thuc_hien_tai_cap_xa_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,strict,
BULK,guide_cap_xa_2025_a_04_quan_ly_xuat_nhap_canh_trinh_bao_mat_giay_thong_hanh_thuc_hien_tai_cong_an_cap_xa_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_01_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_02_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_03_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_03_02,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,broad,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_03_03,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
BULK,guide_cap_xa_2025_b_01_ang_ky_quan_ly_cu_tru_ang_ky_thuong_tru_04_01,guide,,,xa,approved,supplemental,,N/A,,,,,N/A,,N/A,,N/A,N/A,N/A,,
